amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2019,year,2019,,line_item,3,Cash and cash equivalents,0120,Buffalo City,BUF,1171632910
Audited Actual,AUDA,2019,year,2019,,line_item,4,Trade and other receivables from exchange transactions,0130,Buffalo City,BUF,834961139
Audited Actual,AUDA,2019,year,2019,,line_item,5,Receivables from non-exchange transactions,0140,Buffalo City,BUF,679560229
Audited Actual,AUDA,2019,year,2019,,line_item,6,Current portion of non-current receivables,0150,Buffalo City,BUF,
Audited Actual,AUDA,2019,year,2019,,line_item,7,Inventory,0160,Buffalo City,BUF,37177518
Audited Actual,AUDA,2019,year,2019,,line_item,8,VAT,0170,Buffalo City,BUF,4581157203
Audited Actual,AUDA,2019,year,2019,,line_item,9,Other current assets,0180,Buffalo City,BUF,7805301
Audited Actual,AUDA,2019,year,2019,,line_item,10,Non current assets,0190,Buffalo City,BUF,7312294300
Audited Actual,AUDA,2019,year,2019,,line_item,13,Investment property,0220,Buffalo City,BUF,401546000
Audited Actual,AUDA,2019,year,2019,,line_item,14,"Property, plant and equipment",0230,Buffalo City,BUF,19743463617
Audited Actual,AUDA,2019,year,2019,,line_item,17,Heritage assets,0260,Buffalo City,BUF,49779875
Audited Actual,AUDA,2019,year,2019,,line_item,18,Intangible assets,0270,Buffalo City,BUF,21139564
Audited Actual,AUDA,2019,year,2019,,line_item,21,Other non-current assets,0300,Buffalo City,BUF,597883244
Audited Actual,AUDA,2019,year,2019,,line_item,22,LIABILITIES,0310,Buffalo City,BUF,20813812300
Audited Actual,AUDA,2019,year,2019,,line_item,23,Current liabilities,0320,Buffalo City,BUF,28126106600
Audited Actual,AUDA,2019,year,2019,,line_item,27,Financial liabilities,0360,Buffalo City,BUF,57973556
Audited Actual,AUDA,2019,year,2019,,line_item,28,Consumer deposits,0370,Buffalo City,BUF,71485373
Audited Actual,AUDA,2019,year,2019,,line_item,29,Trade and other payables from exchange transactions,0380,Buffalo City,BUF,1042296652
Audited Actual,AUDA,2019,year,2019,,line_item,30,Trade and other payables from non-exchange transactions,0390,Buffalo City,BUF,210610284
Audited Actual,AUDA,2019,year,2019,,line_item,31,Provision,0400,Buffalo City,BUF,252039351
Audited Actual,AUDA,2019,year,2019,,line_item,32,VAT,0410,Buffalo City,BUF,4582333287
Audited Actual,AUDA,2019,year,2019,,line_item,33,Other current liabilities,0420,Buffalo City,BUF,702236
Audited Actual,AUDA,2019,year,2019,,line_item,34,TOTAL LIABILITIES,0430,Buffalo City,BUF,6217440739
Audited Actual,AUDA,2019,year,2019,,line_item,36,Financial liabilities,0450,Buffalo City,BUF,287580532
Audited Actual,AUDA,2019,year,2019,,line_item,37,Provision,0460,Buffalo City,BUF,54372063
Audited Actual,AUDA,2019,year,2019,,line_item,39,Other non-current liabilities,0480,Buffalo City,BUF,679562696
Audited Actual,AUDA,2019,year,2019,,line_item,40,Total non current liabilities,0490,Buffalo City,BUF,1021515291
Audited Actual,AUDA,2019,year,2019,,line_item,41,TOTAL LIABILITIES,0500,Buffalo City,BUF,7238956030
Audited Actual,AUDA,2019,year,2019,,line_item,42,NET ASSETS,0510,Buffalo City,BUF,35365062630
Audited Actual,AUDA,2019,year,2019,,line_item,43,Accumulated surplus/(deficit),0530,Buffalo City,BUF,11025512753
Audited Actual,AUDA,2019,year,2019,,line_item,44,Reserves and funds,0540,Buffalo City,BUF,9866999401
Audited Actual,AUDA,2019,year,2019,,line_item,45,TOTAL COMMUNITY WEALTH/EQUITY,0560,Buffalo City,BUF,20892512154
Audited Actual,AUDA,2019,year,2019,,line_item,3,Cash and cash equivalents,0120,Cape Town,CPT,11131054438
Audited Actual,AUDA,2019,year,2019,,line_item,4,Trade and other receivables from exchange transactions,0130,Cape Town,CPT,3093911383
Audited Actual,AUDA,2019,year,2019,,line_item,5,Receivables from non-exchange transactions,0140,Cape Town,CPT,2756853861
Audited Actual,AUDA,2019,year,2019,,line_item,6,Current portion of non-current receivables,0150,Cape Town,CPT,10291003
Audited Actual,AUDA,2019,year,2019,,line_item,7,Inventory,0160,Cape Town,CPT,438057841
Audited Actual,AUDA,2019,year,2019,,line_item,8,VAT,0170,Cape Town,CPT,415306152
Audited Actual,AUDA,2019,year,2019,,line_item,9,Other current assets,0180,Cape Town,CPT,2919505
Audited Actual,AUDA,2019,year,2019,,line_item,10,Non current assets,0190,Cape Town,CPT,17848394183
Audited Actual,AUDA,2019,year,2019,,line_item,12,Investments,0210,Cape Town,CPT,4976370581
Audited Actual,AUDA,2019,year,2019,,line_item,13,Investment property,0220,Cape Town,CPT,582961512
Audited Actual,AUDA,2019,year,2019,,line_item,14,"Property, plant and equipment",0230,Cape Town,CPT,46280506804
Audited Actual,AUDA,2019,year,2019,,line_item,17,Heritage assets,0260,Cape Town,CPT,10279738
Audited Actual,AUDA,2019,year,2019,,line_item,18,Intangible assets,0270,Cape Town,CPT,697380319
Audited Actual,AUDA,2019,year,2019,,line_item,20,Non-current receivables from non-exchange transactions,0290,Cape Town,CPT,217571184
Audited Actual,AUDA,2019,year,2019,,line_item,21,Other non-current assets,0300,Cape Town,CPT,100
Audited Actual,AUDA,2019,year,2019,,line_item,22,LIABILITIES,0310,Cape Town,CPT,52765070238
Audited Actual,AUDA,2019,year,2019,,line_item,23,Current liabilities,0320,Cape Town,CPT,70613464421
Audited Actual,AUDA,2019,year,2019,,line_item,27,Financial liabilities,0360,Cape Town,CPT,215589303
Audited Actual,AUDA,2019,year,2019,,line_item,28,Consumer deposits,0370,Cape Town,CPT,431843928
Audited Actual,AUDA,2019,year,2019,,line_item,29,Trade and other payables from exchange transactions,0380,Cape Town,CPT,4733226357
Audited Actual,AUDA,2019,year,2019,,line_item,30,Trade and other payables from non-exchange transactions,0390,Cape Town,CPT,1181452982
Audited Actual,AUDA,2019,year,2019,,line_item,31,Provision,0400,Cape Town,CPT,892364737
Audited Actual,AUDA,2019,year,2019,,line_item,32,VAT,0410,Cape Town,CPT,545575692
Audited Actual,AUDA,2019,year,2019,,line_item,33,Other current liabilities,0420,Cape Town,CPT,-126704797
Audited Actual,AUDA,2019,year,2019,,line_item,34,TOTAL LIABILITIES,0430,Cape Town,CPT,7873348202
Audited Actual,AUDA,2019,year,2019,,line_item,36,Financial liabilities,0450,Cape Town,CPT,6200434825
Audited Actual,AUDA,2019,year,2019,,line_item,37,Provision,0460,Cape Town,CPT,964171427
Audited Actual,AUDA,2019,year,2019,,line_item,39,Other non-current liabilities,0480,Cape Town,CPT,6162827994
Audited Actual,AUDA,2019,year,2019,,line_item,40,Total non current liabilities,0490,Cape Town,CPT,13327434246
Audited Actual,AUDA,2019,year,2019,,line_item,41,TOTAL LIABILITIES,0500,Cape Town,CPT,21200782448
Audited Actual,AUDA,2019,year,2019,,line_item,42,NET ASSETS,0510,Cape Town,CPT,91814246869
Audited Actual,AUDA,2019,year,2019,,line_item,43,Accumulated surplus/(deficit),0530,Cape Town,CPT,37875567999
Audited Actual,AUDA,2019,year,2019,,line_item,44,Reserves and funds,0540,Cape Town,CPT,4798919590
Audited Actual,AUDA,2019,year,2019,,line_item,45,Other,0550,Cape Town,CPT,323169755
Audited Actual,AUDA,2019,year,2019,,line_item,45,TOTAL COMMUNITY WEALTH/EQUITY,0560,Cape Town,CPT,42997657344
Audited Actual,AUDA,2019,year,2019,,line_item,3,Cash and cash equivalents,0120,City of Ekurhuleni,EKU,3529251789
Audited Actual,AUDA,2019,year,2019,,line_item,4,Trade and other receivables from exchange transactions,0130,City of Ekurhuleni,EKU,4034628777
Audited Actual,AUDA,2019,year,2019,,line_item,5,Receivables from non-exchange transactions,0140,City of Ekurhuleni,EKU,530707865
Audited Actual,AUDA,2019,year,2019,,line_item,6,Current portion of non-current receivables,0150,City of Ekurhuleni,EKU,97515191
Audited Actual,AUDA,2019,year,2019,,line_item,7,Inventory,0160,City of Ekurhuleni,EKU,1330457949
Audited Actual,AUDA,2019,year,2019,,line_item,8,VAT,0170,City of Ekurhuleni,EKU,1280514528
