amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2019,year,2019,,line_item,9,Other current assets,0180,City of Ekurhuleni,EKU,121759795
Audited Actual,AUDA,2019,year,2019,,line_item,10,Non current assets,0190,City of Ekurhuleni,EKU,10924835894
Audited Actual,AUDA,2019,year,2019,,line_item,12,Investments,0210,City of Ekurhuleni,EKU,2093877735
Audited Actual,AUDA,2019,year,2019,,line_item,13,Investment property,0220,City of Ekurhuleni,EKU,418550250
Audited Actual,AUDA,2019,year,2019,,line_item,14,"Property, plant and equipment",0230,City of Ekurhuleni,EKU,57959859693
Audited Actual,AUDA,2019,year,2019,,line_item,17,Heritage assets,0260,City of Ekurhuleni,EKU,69033512
Audited Actual,AUDA,2019,year,2019,,line_item,18,Intangible assets,0270,City of Ekurhuleni,EKU,651431022
Audited Actual,AUDA,2019,year,2019,,line_item,20,Non-current receivables from non-exchange transactions,0290,City of Ekurhuleni,EKU,2108469
Audited Actual,AUDA,2019,year,2019,,line_item,21,Other non-current assets,0300,City of Ekurhuleni,EKU,4000106
Audited Actual,AUDA,2019,year,2019,,line_item,22,LIABILITIES,0310,City of Ekurhuleni,EKU,61198860787
Audited Actual,AUDA,2019,year,2019,,line_item,23,Current liabilities,0320,City of Ekurhuleni,EKU,72123696681
Audited Actual,AUDA,2019,year,2019,,line_item,27,Financial liabilities,0360,City of Ekurhuleni,EKU,58013185
Audited Actual,AUDA,2019,year,2019,,line_item,28,Consumer deposits,0370,City of Ekurhuleni,EKU,913329905
Audited Actual,AUDA,2019,year,2019,,line_item,29,Trade and other payables from exchange transactions,0380,City of Ekurhuleni,EKU,6406352981
Audited Actual,AUDA,2019,year,2019,,line_item,30,Trade and other payables from non-exchange transactions,0390,City of Ekurhuleni,EKU,980713824
Audited Actual,AUDA,2019,year,2019,,line_item,31,Provision,0400,City of Ekurhuleni,EKU,3491609636
Audited Actual,AUDA,2019,year,2019,,line_item,32,VAT,0410,City of Ekurhuleni,EKU,1133462695
Audited Actual,AUDA,2019,year,2019,,line_item,33,Other current liabilities,0420,City of Ekurhuleni,EKU,722291
Audited Actual,AUDA,2019,year,2019,,line_item,34,TOTAL LIABILITIES,0430,City of Ekurhuleni,EKU,12984204517
Audited Actual,AUDA,2019,year,2019,,line_item,36,Financial liabilities,0450,City of Ekurhuleni,EKU,9016241036
Audited Actual,AUDA,2019,year,2019,,line_item,37,Provision,0460,City of Ekurhuleni,EKU,75850594
Audited Actual,AUDA,2019,year,2019,,line_item,39,Other non-current liabilities,0480,City of Ekurhuleni,EKU,41652466
Audited Actual,AUDA,2019,year,2019,,line_item,40,Total non current liabilities,0490,City of Ekurhuleni,EKU,9133744096
Audited Actual,AUDA,2019,year,2019,,line_item,41,TOTAL LIABILITIES,0500,City of Ekurhuleni,EKU,22117948613
Audited Actual,AUDA,2019,year,2019,,line_item,42,NET ASSETS,0510,City of Ekurhuleni,EKU,94241645294
Audited Actual,AUDA,2019,year,2019,,line_item,43,Accumulated surplus/(deficit),0530,City of Ekurhuleni,EKU,49476801840
Audited Actual,AUDA,2019,year,2019,,line_item,44,Reserves and funds,0540,City of Ekurhuleni,EKU,528946143
Audited Actual,AUDA,2019,year,2019,,line_item,45,Other,0550,City of Ekurhuleni,EKU,106
Audited Actual,AUDA,2019,year,2019,,line_item,45,TOTAL COMMUNITY WEALTH/EQUITY,0560,City of Ekurhuleni,EKU,50005748089
Audited Actual,AUDA,2019,year,2019,,line_item,3,Cash and cash equivalents,0120,eThekwini,ETH,
Audited Actual,AUDA,2019,year,2019,,line_item,4,Trade and other receivables from exchange transactions,0130,eThekwini,ETH,471017952
Audited Actual,AUDA,2019,year,2019,,line_item,5,Receivables from non-exchange transactions,0140,eThekwini,ETH,151092785
Audited Actual,AUDA,2019,year,2019,,line_item,6,Current portion of non-current receivables,0150,eThekwini,ETH,106518
Audited Actual,AUDA,2019,year,2019,,line_item,7,Inventory,0160,eThekwini,ETH,-10980430
Audited Actual,AUDA,2019,year,2019,,line_item,8,VAT,0170,eThekwini,ETH,55460585
Audited Actual,AUDA,2019,year,2019,,line_item,10,Non current assets,0190,eThekwini,ETH,666697410
Audited Actual,AUDA,2019,year,2019,,line_item,13,Investment property,0220,eThekwini,ETH,-132835
Audited Actual,AUDA,2019,year,2019,,line_item,14,"Property, plant and equipment",0230,eThekwini,ETH,-145952554
Audited Actual,AUDA,2019,year,2019,,line_item,18,Intangible assets,0270,eThekwini,ETH,-28081951
Audited Actual,AUDA,2019,year,2019,,line_item,20,Non-current receivables from non-exchange transactions,0290,eThekwini,ETH,1
Audited Actual,AUDA,2019,year,2019,,line_item,21,Other non-current assets,0300,eThekwini,ETH,-1
Audited Actual,AUDA,2019,year,2019,,line_item,22,LIABILITIES,0310,eThekwini,ETH,-174167340
Audited Actual,AUDA,2019,year,2019,,line_item,23,Current liabilities,0320,eThekwini,ETH,492530070
Audited Actual,AUDA,2019,year,2019,,line_item,29,Trade and other payables from exchange transactions,0380,eThekwini,ETH,468806451
Audited Actual,AUDA,2019,year,2019,,line_item,30,Trade and other payables from non-exchange transactions,0390,eThekwini,ETH,-120000
Audited Actual,AUDA,2019,year,2019,,line_item,31,Provision,0400,eThekwini,ETH,14208000
Audited Actual,AUDA,2019,year,2019,,line_item,32,VAT,0410,eThekwini,ETH,-939336
Audited Actual,AUDA,2019,year,2019,,line_item,33,Other current liabilities,0420,eThekwini,ETH,620362
Audited Actual,AUDA,2019,year,2019,,line_item,34,TOTAL LIABILITIES,0430,eThekwini,ETH,482575477
Audited Actual,AUDA,2019,year,2019,,line_item,41,TOTAL LIABILITIES,0500,eThekwini,ETH,482575477
Audited Actual,AUDA,2019,year,2019,,line_item,42,NET ASSETS,0510,eThekwini,ETH,975105547
Audited Actual,AUDA,2019,year,2019,,line_item,43,Accumulated surplus/(deficit),0530,eThekwini,ETH,12138078
Audited Actual,AUDA,2019,year,2019,,line_item,45,TOTAL COMMUNITY WEALTH/EQUITY,0560,eThekwini,ETH,12138078
Audited Actual,AUDA,2019,year,2019,,line_item,3,Cash and cash equivalents,0120,Mangaung,MAN,127986222
Audited Actual,AUDA,2019,year,2019,,line_item,4,Trade and other receivables from exchange transactions,0130,Mangaung,MAN,1700638436
Audited Actual,AUDA,2019,year,2019,,line_item,5,Receivables from non-exchange transactions,0140,Mangaung,MAN,685673959
Audited Actual,AUDA,2019,year,2019,,line_item,6,Current portion of non-current receivables,0150,Mangaung,MAN,782033873
Audited Actual,AUDA,2019,year,2019,,line_item,7,Inventory,0160,Mangaung,MAN,621266299
Audited Actual,AUDA,2019,year,2019,,line_item,8,VAT,0170,Mangaung,MAN,2653747215
Audited Actual,AUDA,2019,year,2019,,line_item,9,Other current assets,0180,Mangaung,MAN,47281458
Audited Actual,AUDA,2019,year,2019,,line_item,10,Non current assets,0190,Mangaung,MAN,6618627462
Audited Actual,AUDA,2019,year,2019,,line_item,12,Investments,0210,Mangaung,MAN,104150
Audited Actual,AUDA,2019,year,2019,,line_item,13,Investment property,0220,Mangaung,MAN,1570113653
Audited Actual,AUDA,2019,year,2019,,line_item,14,"Property, plant and equipment",0230,Mangaung,MAN,16404534790
Audited Actual,AUDA,2019,year,2019,,line_item,17,Heritage assets,0260,Mangaung,MAN,279968687
Audited Actual,AUDA,2019,year,2019,,line_item,18,Intangible assets,0270,Mangaung,MAN,91985805
Audited Actual,AUDA,2019,year,2019,,line_item,20,Non-current receivables from non-exchange transactions,0290,Mangaung,MAN,-4218501
Audited Actual,AUDA,2019,year,2019,,line_item,21,Other non-current assets,0300,Mangaung,MAN,1327172779
Audited Actual,AUDA,2019,year,2019,,line_item,22,LIABILITIES,0310,Mangaung,MAN,19669661363
Audited Actual,AUDA,2019,year,2019,,line_item,23,Current liabilities,0320,Mangaung,MAN,26288288825
Audited Actual,AUDA,2019,year,2019,,line_item,27,Financial liabilities,0360,Mangaung,MAN,224012164
Audited Actual,AUDA,2019,year,2019,,line_item,28,Consumer deposits,0370,Mangaung,MAN,152369399
Audited Actual,AUDA,2019,year,2019,,line_item,29,Trade and other payables from exchange transactions,0380,Mangaung,MAN,2736830769
Audited Actual,AUDA,2019,year,2019,,line_item,30,Trade and other payables from non-exchange transactions,0390,Mangaung,MAN,459078485
Audited Actual,AUDA,2019,year,2019,,line_item,31,Provision,0400,Mangaung,MAN,929813968
Audited Actual,AUDA,2019,year,2019,,line_item,32,VAT,0410,Mangaung,MAN,2639139104
Audited Actual,AUDA,2019,year,2019,,line_item,33,Other current liabilities,0420,Mangaung,MAN,1071479158
Audited Actual,AUDA,2019,year,2019,,line_item,34,TOTAL LIABILITIES,0430,Mangaung,MAN,8212723047
Audited Actual,AUDA,2019,year,2019,,line_item,36,Financial liabilities,0450,Mangaung,MAN,1501198595
Audited Actual,AUDA,2019,year,2019,,line_item,37,Provision,0460,Mangaung,MAN,169098640
Audited Actual,AUDA,2019,year,2019,,line_item,39,Other non-current liabilities,0480,Mangaung,MAN,667850228
Audited Actual,AUDA,2019,year,2019,,line_item,40,Total non current liabilities,0490,Mangaung,MAN,2338147463
Audited Actual,AUDA,2019,year,2019,,line_item,41,TOTAL LIABILITIES,0500,Mangaung,MAN,10550870510
Audited Actual,AUDA,2019,year,2019,,line_item,42,NET ASSETS,0510,Mangaung,MAN,36839159335
Audited Actual,AUDA,2019,year,2019,,line_item,43,Accumulated surplus/(deficit),0530,Mangaung,MAN,14073838846
Audited Actual,AUDA,2019,year,2019,,line_item,44,Reserves and funds,0540,Mangaung,MAN,2416401168
Audited Actual,AUDA,2019,year,2019,,line_item,45,Other,0550,Mangaung,MAN,100
Audited Actual,AUDA,2019,year,2019,,line_item,45,TOTAL COMMUNITY WEALTH/EQUITY,0560,Mangaung,MAN,16490240114
Audited Actual,AUDA,2019,year,2019,,line_item,3,Cash and cash equivalents,0120,City of Tshwane,TSH,3273928284
Audited Actual,AUDA,2019,year,2019,,line_item,4,Trade and other receivables from exchange transactions,0130,City of Tshwane,TSH,-2924675639
Audited Actual,AUDA,2019,year,2019,,line_item,5,Receivables from non-exchange transactions,0140,City of Tshwane,TSH,-1623053268
Audited Actual,AUDA,2019,year,2019,,line_item,6,Current portion of non-current receivables,0150,City of Tshwane,TSH,9874672
Audited Actual,AUDA,2019,year,2019,,line_item,7,Inventory,0160,City of Tshwane,TSH,1460125943
Audited Actual,AUDA,2019,year,2019,,line_item,10,Non current assets,0190,City of Tshwane,TSH,196199992
Audited Actual,AUDA,2019,year,2019,,line_item,12,Investments,0210,City of Tshwane,TSH,-3273928284
Audited Actual,AUDA,2019,year,2019,,line_item,13,Investment property,0220,City of Tshwane,TSH,2202146858
Audited Actual,AUDA,2019,year,2019,,line_item,14,"Property, plant and equipment",0230,City of Tshwane,TSH,30094499552
Audited Actual,AUDA,2019,year,2019,,line_item,15,Biological assets,0240,City of Tshwane,TSH,-1064136092
Audited Actual,AUDA,2019,year,2019,,line_item,17,Heritage assets,0260,City of Tshwane,TSH,3370846811
Audited Actual,AUDA,2019,year,2019,,line_item,18,Intangible assets,0270,City of Tshwane,TSH,-16185339
Audited Actual,AUDA,2019,year,2019,,line_item,20,Non-current receivables from non-exchange transactions,0290,City of Tshwane,TSH,147108927
Audited Actual,AUDA,2019,year,2019,,line_item,22,LIABILITIES,0310,City of Tshwane,TSH,31460352433
Audited Actual,AUDA,2019,year,2019,,line_item,23,Current liabilities,0320,City of Tshwane,TSH,31656552425
Audited Actual,AUDA,2019,year,2019,,line_item,27,Financial liabilities,0360,City of Tshwane,TSH,-906627759
Audited Actual,AUDA,2019,year,2019,,line_item,29,Trade and other payables from exchange transactions,0380,City of Tshwane,TSH,3014938219
Audited Actual,AUDA,2019,year,2019,,line_item,31,Provision,0400,City of Tshwane,TSH,2679733242
Audited Actual,AUDA,2019,year,2019,,line_item,34,TOTAL LIABILITIES,0430,City of Tshwane,TSH,4788043702
Audited Actual,AUDA,2019,year,2019,,line_item,36,Financial liabilities,0450,City of Tshwane,TSH,2373957494
Audited Actual,AUDA,2019,year,2019,,line_item,40,Total non current liabilities,0490,City of Tshwane,TSH,2373957494
Audited Actual,AUDA,2019,year,2019,,line_item,41,TOTAL LIABILITIES,0500,City of Tshwane,TSH,7162001196
Audited Actual,AUDA,2019,year,2019,,line_item,42,NET ASSETS,0510,City of Tshwane,TSH,38818553621
Audited Actual,AUDA,2019,year,2019,,line_item,44,Reserves and funds,0540,City of Tshwane,TSH,239389598
Audited Actual,AUDA,2019,year,2019,,line_item,45,TOTAL COMMUNITY WEALTH/EQUITY,0560,City of Tshwane,TSH,239389598
